,country,D_first_wave,D_second_wave,D_third_wave
0,AT,11.204218108972874,8.638454129174592,2.0472637910394615
1,BE,22.632277176968824,11.26796002715571,1.990218018257189
2,BG,25.11550774352865,19.827426727135308,15.340613699352168
3,CH,11.866973981608282,8.042187993616997,1.6419145593082167
4,CY,3.873852061643797,2.995478629061773,2.5450307149171456
5,CZ,25.69154611251628,21.72700891197581,5.2328739001123905
6,DE,10.46189650343772,8.309043527005242,1.7401148042493615
7,DK,3.534190100170087,2.389837978575439,0.8564349072807816
8,EE,8.322196939598609,6.869950999867568,4.033180433657192
9,EL,4.23793494887627,2.1207131034711133,0.0
10,ES,18.488281377207613,10.075952565273633,2.0949917848233497
11,FI,1.7121267075115667,0.9737041951809967,0.49409153398589617
12,FR,10.842124394443905,7.161486506863884,2.0705400142829595
13,HR,17.342352548378017,13.293536757655033,3.110849901902791
14,HU,26.81399281807531,22.38593765961624,8.533679116059469
15,IE,9.070509463303011,5.738814448356712,2.008282908041995
16,IS,1.180883960300329,0.329549012176836,0.109849670725612
17,IT,18.695473391754327,12.05102791537292,2.574968110373148
18,LI,13.936562830670761,12.517098097917257,2.5808449686427335
19,LT,30.114142434502828,24.98380796025011,15.509581370478548
20,LU,11.83501887853214,8.736511911682967,1.8367438205549202
21,LV,12.166642640911057,9.80775027192787,9.372665679426527
22,MT,7.579232126615931,6.21885712953102,1.3603749970849106
23,NL,8.265780247519734,4.826800620646021,1.7857592652455294
24,NO,1.5034708378822488,0.9576010045495363,0.5626371660971984
25,PL,18.426507815513563,14.894210533209215,4.836258970272926
26,PT,10.136277779028699,8.271223097512669,2.478238559838798
27,RO,18.19148761710654,13.325273702541313,10.75853982510769
28,SE,11.65467989488638,6.479780171398916,1.3646191686981337
29,SI,22.372478812803053,17.80748897359674,4.919044060532509
30,SK,19.963599401991768,17.732972284873657,8.155129394759859
31,UK,17.510639052402414,10.833302192118149,3.7007193634037763
